"","CO_MUNICIPIO_RESIDENCIA","uf_res","nu_nota_cn","nu_nota_ch","nu_nota_lc","nu_nota_mt","nu_nota_redacao"
"38",2603504,"26",465.682554517134,522.607788161994,511.471028037383,477.149221183801,526.230529595016
"39",2603603,"26",474.729180327869,526.072131147541,511.100983606557,470.754754098361,530.622950819672
"40",2603702,"26",456.994350282486,514.985593220339,501.279096045198,461.105367231638,509.039548022599
"41",2603801,"26",461.57152173913,509.789782608696,505.883695652174,471.768695652174,504.478260869565
"42",2603900,"26",458.921481481481,508.495740740741,501.172962962963,474.152592592593,518.074074074074
"43",2603926,"26",445.422115384615,493.342788461538,477.742067307692,441.482932692308,483.942307692308
"44",2604007,"26",475.42769180112,527.121896608495,514.049028646691,479.8449785973,522.027000329272
"45",2604106,"26",478.690280358048,540.036032764736,526.220731295389,493.951452457355,544.911839216349
"46",2604155,"26",461.062053571429,507.598660714286,496.930357142857,461.770535714286,491.071428571429
"47",2604205,"26",453.4827176781,515.884300791557,508.505145118734,462.134564643799,510.158311345646
"48",2604304,"26",465.169730941704,505.318609865471,498.807847533632,474.204484304933,522.206278026906
"49",2604403,"26",456.687878787879,505.17217630854,496.300275482094,453.841046831956,493.719008264463
"50",2604502,"26",463.955402750491,513.733202357564,506.778781925344,466.241453831041,507.897838899804
"51",2604601,"26",465.260823170732,517.752896341463,504.801067073171,455.318445121951,524.359756097561
"52",2604700,"26",460.956393442623,514.305573770492,498.199016393443,458.308196721311,518.885245901639
"53",2604809,"26",452.426690391459,492.584341637011,489.292882562278,447.582918149466,488.967971530249
"54",2604908,"26",472.557675438597,508.603070175439,504.864254385965,469.862938596491,498.245614035088
"55",2605004,"26",462.237391304348,515.729565217391,504.986195652174,470.213695652174,532.04347826087
"56",2605103,"26",460.1853200883,500.323289183223,494.981015452539,466.736092715232,480.775938189845
"57",2605152,"26",472.77485549133,514.6,501.375433526012,484.895953757225,532.586705202312
"58",2605202,"26",460.568377088306,512.687947494033,505.968496420048,459.457637231504,508.114558472554
"59",2605301,"26",461.900777453839,504.96491739553,495.274052478134,460.929737609329,496.559766763848
"60",2605400,"26",468.535025380711,511.260609137056,500.342639593909,469.983959390863,520.186802030457
"61",2605459,"26",465.975,531.466666666667,522.872916666667,461.8875,476.25
"62",2605509,"26",456.792713567839,505.422864321608,496.991457286432,460.993216080402,509.145728643216
"63",2605608,"26",459.908193668529,511.420484171322,501.882495344507,465.774860335196,500.48417132216
"64",2605707,"26",460.188041733547,511.955537720706,504.346468699839,462.780096308186,522.182985553772
"65",2605806,"26",465.373831775701,518.053271028037,517.94953271028,469.168691588785,523.831775700935
"66",2605905,"26",451.143157894737,496.782631578947,496.575,446.448947368421,479.947368421053
"67",2606002,"26",472.100121149187,530.493717549325,517.972464520595,476.560124610592,529.048113534095
"68",2606101,"26",460.809355246523,507.970922882427,496.371681415929,460.103286978508,511.934260429836
"69",2606200,"26",468.11558988764,518.790777153558,507.066245318352,466.306039325843,508.501404494382
"70",2606309,"26",454.890526315789,493.467894736842,479.485263157895,454.427368421053,449.263157894737
"71",2606408,"26",471.291080797482,526.527562084645,516.211962224554,478.741238195173,524.888422525358
"72",2606507,"26",457.70056022409,511.410084033613,503.264145658263,457.612885154062,491.932773109244
"73",2606606,"26",463.536604774536,509.669230769231,503.510610079576,469.889655172414,514.907161803714
"74",2606705,"26",455.669117647059,520.872794117647,519.616176470588,460.721323529412,545.588235294118
"75",2606804,"26",473.408356039964,525.552558280351,511.444020587345,473.718770814411,508.337874659401
"76",2606903,"26",452.823372781065,502.37426035503,496.44674556213,457.493786982249,484.615384615385
"77",2607000,"26",464.378861788618,508.961788617886,497.460975609756,465.019512195122,500.975609756098
"78",2607109,"26",459.240322580645,493.714516129032,498.438709677419,460.635483870968,516.774193548387
"79",2607208,"26",469.461500275786,515.875234418092,507.555322669608,465.443408714837,497.53998896856
"80",2607307,"26",454.811324041812,498.273519163763,491.590592334495,465.802090592334,495.88850174216
