CODMUNRES,n_obitos,n_obitos_tb,n_obitos_mulheres,prop_mulheres,n_obitos_menos5,CITY,IBGE_RES_POP,IBGE_RES_POP_BRAS,IBGE_RES_POP_ESTR,IBGE_DU,IBGE_DU_URBAN,IBGE_DU_RURAL,IBGE_POP,IBGE_1,IBGE_1-4,IBGE_5-9,IBGE_10-14,IBGE_15-59,IBGE_60+,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao
290720,386,2,148,38.34196891191709,1,casa nova,64940,64920,20,17100,9692,7408,37467,735,2894,3899,3895,22909,3135,9390,283054,4859,0.57,0.577,0.736,0.435
290730,209,0,90,43.0622009569378,0,castro alves,25408,25408,0,7221,4578,2643,15657,213,959,1317,1442,9896,1830,1537,4450,3847,0.613,0.591,0.774,0.504
290740,8,1,4,50,0,catolândia,2612,2612,0,763,282,481,966,17,63,90,97,587,112,389,505,4596,0.58,0.554,0.786,0.452
290750,317,1,129,40.694006309148264,0,catu,51077,51033,44,15190,12765,2425,42694,598,2418,3137,3568,29141,3832,845,9384,2521,0.677,0.66,0.814,0.578
290755,53,0,30,56.60377358490566,0,caturama,8843,8843,0,2411,664,1747,2369,26,140,184,153,1519,347,1823,2873,4837,0.57,0.543,0.77,0.446
290760,110,0,43,39.09090909090909,1,central,17013,17013,0,4950,2413,2537,8149,141,602,802,846,4828,930,8426,3988,4238,0.596,0.54,0.728,0.538
290770,73,1,40,54.794520547945204,1,chorrochó,10734,10734,0,2744,714,2030,2623,59,179,270,262,1586,267,284,930,4160,0.6,0.552,0.779,0.503
290780,212,0,89,41.9811320754717,0,cícero dantas,32300,32300,0,10192,5707,4485,17678,224,996,1397,1603,11107,2351,12697,10679,4526,0.585,0.59,0.712,0.477
290790,101,0,45,44.554455445544555,1,cipó,15755,15752,3,4432,3291,1141,11270,185,732,1057,1108,6907,1281,1229,1165,4128,0.601,0.589,0.744,0.496
290800,206,1,88,42.71844660194174,0,coaraci,20964,20964,0,6494,5914,580,19110,226,1154,1671,1716,11399,2944,5711,17803,3862,0.613,0.615,0.762,0.491
